Timestamp,Object_Label,Confidence
2025-11-28 08:11:42.947727,person,0.93
2025-11-28 08:11:42.948732,person,0.91
2025-11-28 08:11:43.008996,person,0.93
2025-11-28 08:11:43.009999,person,0.88
2025-11-28 08:11:43.065130,person,0.92
2025-11-28 08:11:43.065130,person,0.90
2025-11-28 08:11:43.135949,person,0.89
2025-11-28 08:11:43.135949,person,0.84
2025-11-28 08:11:43.195160,person,0.89
2025-11-28 08:11:43.195160,person,0.87
2025-11-28 08:11:43.251242,person,0.82
2025-11-28 08:11:43.252242,person,0.74
2025-11-28 08:11:43.304636,person,0.83
2025-11-28 08:11:43.305636,person,0.77
2025-11-28 08:11:43.370306,person,0.84
2025-11-28 08:11:43.371311,person,0.74
2025-11-28 08:11:43.433966,person,0.85
2025-11-28 08:11:43.433966,person,0.80
2025-11-28 08:11:43.488579,person,0.85
2025-11-28 08:11:43.489581,person,0.83
2025-11-28 08:11:43.545854,person,0.88
2025-11-28 08:11:43.545854,person,0.85
2025-11-28 08:11:43.636552,person,0.85
2025-11-28 08:11:43.638056,person,0.83
2025-11-28 08:11:43.693635,person,0.87
2025-11-28 08:11:43.694634,person,0.85
2025-11-28 08:11:43.749668,person,0.89
2025-11-28 08:11:43.750665,person,0.85
2025-11-28 08:11:43.805278,person,0.88
2025-11-28 08:11:43.806279,person,0.87
2025-11-28 08:11:43.860576,person,0.87
2025-11-28 08:11:43.861576,person,0.83
2025-11-28 08:11:43.917736,person,0.85
2025-11-28 08:11:43.917736,person,0.84
2025-11-28 08:11:43.975800,person,0.88
2025-11-28 08:11:43.975800,person,0.88
2025-11-28 08:11:44.029910,person,0.87
2025-11-28 08:11:44.030909,person,0.87
2025-11-28 08:11:44.084361,person,0.87
2025-11-28 08:11:44.085361,person,0.84
2025-11-28 08:11:44.155558,person,0.87
2025-11-28 08:11:44.156558,person,0.86
2025-11-28 08:11:44.218977,person,0.87
2025-11-28 08:11:44.218977,person,0.87
2025-11-28 08:11:44.273396,person,0.87
2025-11-28 08:11:44.274396,person,0.86
2025-11-28 08:11:44.349549,person,0.87
2025-11-28 08:11:44.350053,person,0.87
2025-11-28 08:11:44.407670,person,0.87
2025-11-28 08:11:44.408678,person,0.86
2025-11-28 08:11:44.471722,person,0.86
2025-11-28 08:11:44.471722,person,0.84
2025-11-28 08:11:44.532930,person,0.87
2025-11-28 08:11:44.533935,person,0.85
2025-11-28 08:11:44.588660,person,0.89
2025-11-28 08:11:44.589659,person,0.89
2025-11-28 08:11:44.646268,person,0.90
2025-11-28 08:11:44.646268,person,0.90
2025-11-28 08:11:44.703723,person,0.89
2025-11-28 08:11:44.703723,person,0.89
2025-11-28 08:11:44.757478,person,0.89
2025-11-28 08:11:44.758482,person,0.89
2025-11-28 08:11:44.814106,person,0.90
2025-11-28 08:11:44.815111,person,0.89
2025-11-28 08:11:44.871282,person,0.90
2025-11-28 08:11:44.872279,person,0.90
2025-11-28 08:11:44.932928,person,0.90
2025-11-28 08:11:44.933930,person,0.89
2025-11-28 08:11:45.001609,person,0.91
2025-11-28 08:11:45.001609,person,0.90
2025-11-28 08:11:45.056278,person,0.91
2025-11-28 08:11:45.057781,person,0.90
2025-11-28 08:11:45.111964,person,0.91
2025-11-28 08:11:45.112966,person,0.89
2025-11-28 08:11:45.168591,person,0.90
2025-11-28 08:11:45.168591,person,0.88
2025-11-28 08:11:45.224353,person,0.91
2025-11-28 08:11:45.224353,person,0.89
2025-11-28 08:11:45.282758,person,0.91
2025-11-28 08:11:45.283759,person,0.87
2025-11-28 08:11:45.339429,person,0.91
2025-11-28 08:11:45.339429,person,0.89
2025-11-28 08:11:45.409690,person,0.91
2025-11-28 08:11:45.410684,person,0.88
2025-11-28 08:11:45.467322,person,0.91
2025-11-28 08:11:45.467827,person,0.87
2025-11-28 08:11:45.521707,person,0.91
2025-11-28 08:11:45.522713,person,0.89
2025-11-28 08:11:45.582028,person,0.89
2025-11-28 08:11:45.583028,person,0.89
2025-11-28 08:11:45.639146,person,0.90
2025-11-28 08:11:45.640146,person,0.89
2025-11-28 08:11:45.696061,person,0.91
2025-11-28 08:11:45.697564,person,0.88
2025-11-28 08:11:45.755267,person,0.89
2025-11-28 08:11:45.756267,person,0.89
2025-11-28 08:11:45.809876,person,0.89
2025-11-28 08:11:45.810880,person,0.88
2025-11-28 08:11:45.882029,person,0.89
2025-11-28 08:11:45.883029,person,0.86
2025-11-28 08:11:45.948159,person,0.89
2025-11-28 08:11:45.948159,person,0.87
2025-11-28 08:11:46.004729,person,0.89
2025-11-28 08:11:46.004729,person,0.88
2025-11-28 08:11:46.061225,person,0.90
2025-11-28 08:11:46.062222,person,0.88
2025-11-28 08:11:46.132403,person,0.91
2025-11-28 08:11:46.133403,person,0.89
2025-11-28 08:11:46.191513,person,0.92
2025-11-28 08:11:46.191513,person,0.88
2025-11-28 08:11:46.249601,person,0.92
2025-11-28 08:11:46.249601,person,0.89
2025-11-28 08:11:46.313193,person,0.93
2025-11-28 08:11:46.314194,person,0.87
2025-11-28 08:11:46.369801,person,0.92
2025-11-28 08:11:46.370806,person,0.87
2025-11-28 08:11:46.424003,person,0.93
2025-11-28 08:11:46.424003,person,0.81
2025-11-28 08:11:46.479475,person,0.93
2025-11-28 08:11:46.479475,person,0.81
2025-11-28 08:11:46.535136,person,0.93
2025-11-28 08:11:46.535136,person,0.86
2025-11-28 08:11:46.592132,person,0.93
2025-11-28 08:11:46.592132,person,0.72
2025-11-28 08:11:46.646287,person,0.93
2025-11-28 08:11:46.647789,person,0.81
2025-11-28 08:11:46.702919,person,0.93
2025-11-28 08:11:46.702919,person,0.84
2025-11-28 08:11:46.759460,person,0.93
2025-11-28 08:11:46.760464,person,0.84
2025-11-28 08:11:46.823634,person,0.93
2025-11-28 08:11:46.823634,person,0.88
2025-11-28 08:11:46.879228,person,0.93
2025-11-28 08:11:46.880227,person,0.83
2025-11-28 08:11:46.947408,person,0.93
2025-11-28 08:11:46.947932,person,0.79
2025-11-28 08:11:47.005160,person,0.93
2025-11-28 08:11:47.005160,person,0.81
2025-11-28 08:11:47.070811,person,0.93
2025-11-28 08:11:47.089837,person,0.82
2025-11-28 08:11:47.146445,person,0.92
